TC_ID	Type	Input	ActualOutput	RunStatus	Screenshot
Pos_Fun_0001	unknown	obata suba raathriyak veevaa!!	ඔබට සුබ රාත්‍රියක් වේවා!!	OK	Pos_Fun_0001.png
Pos_Fun_0002	unknown	machan mata vathura oone	මචන් මට වතුර ඕනෙ	OK	Pos_Fun_0002.png
Pos_Fun_0003	unknown	api passe kathaa karamu.	අපි පස්සෙ කතා කරමු.	OK	Pos_Fun_0003.png
Pos_Fun_0004	unknown	next lecture eka kiiyatadha ?	next lecture එක කීයටද ?	OK	Pos_Fun_0004.png
Pos_Fun_0005	unknown	api heta colombo yanavaa, oyath enavada ,api Galle Face yanna hithan inne,iita passe galle yanavaa,aaya enne dhavas thunakin ,udhenma pitath vena nisaa kalin kiyanna puluvannam leesi	අපි හෙට colombo යනවා, ඔයත් එනවඩ ,අපි Galle Face යන්න හිතන් ඉන්නේ,ඊට පස්සෙ galle යනවා,ආය එන්නෙ දවස් තුනකින් ,උදෙන්ම පිටත් වෙන නිසා කලින් කියන්න පුලුවන්නම් ලේසි	OK	Pos_Fun_0005.png
Pos_Fun_0006	unknown	api heta set vemudha monava hari kanna	අපි හෙට සෙට් වෙමුද මොනව හරි කන්න	OK	Pos_Fun_0006.png
Pos_Fun_0007	unknown	mama dhaen vaeda karanava.	මම දැන් වැඩ කරනව.	OK	Pos_Fun_0007.png
Pos_Fun_0008	unknown	adoo moko venne?	අඩෝ මොකො වෙන්නෙ?	OK	Pos_Fun_0008.png
Pos_Fun_0009	unknown	mata ikmanata gedhara yanna oona	මට ඉක්මනට ගෙදර යන්න ඕන	OK	Pos_Fun_0009.png
Pos_Fun_0010	unknown	uba kaeema ekak genaavadha?	උබ කෑම එකක් ගෙනාවද?	OK	Pos_Fun_0010.png
Pos_Fun_0011	unknown	heta edhdhi magee potha aran enna ,heta ee subject eka thiyanavaa,naeththan mata liyanna venne paper ekka ,mathak karala potha bag ekata dhaaganna dhaenma	හෙට එද්දි මගේ පොත අරන් එන්න ,හෙට ඒ subject එක තියනවා,නැත්තන් මට ලියන්න වෙන්නෙ paper එක්ක ,මතක් කරල පොත bag එකට දාගන්න දැන්ම	OK	Pos_Fun_0011.png
